"Date","Temperature","Pressure","WindVelocity","WindDirection","Precipitation"
"1/1/2019 0:00","-3.2","943.4","0.0","211.4","0.0"
"1/1/2019 1:00","-3.0","943.3","0.0","211.1","0.0"
"1/1/2019 2:00","-3.3","943.0","0.0","211.0","0.0"
"1/1/2019 3:00","-3.7","942.3","0.0","196.9","0.0"
"1/1/2019 4:00","-3.8","941.7","0.0","187.6","0.0"
"1/1/2019 5:00","-3.5","940.6","0.0","180.7","0.0"
"1/1/2019 6:00","-3.2","939.8","0.0","164.4","0.0"
"1/1/2019 7:00","-3.0","939.2","0.0","160.0","0.0"
"1/1/2019 8:00","-2.9","938.4","0.0","162.4","0.0"
"1/1/2019 9:00","-2.5","937.3","0.0","175.2","0.0"
"1/1/2019 10:00","-2.2","935.9","0.0","187.1","0.1"
"1/1/2019 11:00","-1.8","934.7","0.0","192.1","0.0"
"1/1/2019 12:00","-1.2","932.8","0.0","188.7","0.2"
"1/1/2019 13:00","-1.1","931.5","0.0","191.1","0.2"
"1/1/2019 14:00","-0.7","930.4","0.0","192.9","0.6"
"1/1/2019 15:00","-0.5","929.8","0.0","172.7",""
"1/1/2019 16:00","-0.2","929.3","1.5","232.0","0.8"
"1/1/2019 17:00","0.2","928.7","3.0","259.1","2.5"
"1/1/2019 18:00","0.9","928.1","3.6","263.1","2.6"
"1/1/2019 19:00","1.1","927.2","3.8","257.4","0.0"
"1/1/2019 20:00","0.7","926.3","4.1","287.3","0.2"
"1/1/2019 21:00","-0.2","926.1","3.2","296.0","1.9"
"1/1/2019 22:00","0.0","925.5","3.6","266.2","1.0"
"1/1/2019 23:00","-1.4","925.3","5.2","307.9","1.2"
"1/2/2019 0:00","-2.4","925.9","6.2","309.5","0.1"
"1/2/2019 1:00","-2.4","925.9","4.1","299.8","0.5"
"1/2/2019 2:00","-2.3","925.6","3.7","294.6","0.3"
"1/2/2019 3:00","-2.9","925.0","4.2","291.6","0.7"
"1/2/2019 4:00","-3.1","924.8","4.0","295.5","1.2"
"1/2/2019 5:00","-3.1","925.0","5.3","308.3","1.3"
"1/2/2019 6:00","-3.0","925.8","7.8","315.4","0.4"
"1/2/2019 7:00","-3.0","926.5","7.0","313.2","0.0"
"1/2/2019 8:00","-3.0","927.3","6.3","311.0","0.3"
"1/2/2019 9:00","-3.1","927.3","5.9","313.3","0.9"
"1/2/2019 10:00","-3.2","927.5","6.1","316.2",""
"1/2/2019 11:00","-3.2","927.4","5.2","317.9",""
"1/2/2019 12:00","-3.3","927.6","5.0","326.4","1.0"
"1/2/2019 13:00","-3.5","928.3","4.8","338.2","1.2"
"1/2/2019 14:00","-4.1","929.9","3.7","347.1","0.4"
"1/2/2019 15:00","-4.3","931.1","4.6","339.2","0.5"
"1/2/2019 16:00","-4.5","932.2","4.6","340.1","0.0"
"1/2/2019 17:00","-4.8","933.1","4.3","344.4","0.1"
"1/2/2019 18:00","-5.1","933.9","4.7","341.4","0.0"
"1/2/2019 19:00","-5.5","934.7","5.1","337.8","0.0"
"1/2/2019 20:00","-5.8","935.3","5.1","335.6","0.0"
"1/2/2019 21:00","-6.1","935.7","4.6","334.0","0.0"
"1/2/2019 22:00","-6.6","936.1","4.5","330.6","0.0"
"1/2/2019 23:00","-6.8","936.4","4.6","328.7","0.0"
"1/3/2019 0:00","-7.0","936.9","4.7","330.2","0.0"
"1/3/2019 1:00","-7.1","937.3","4.9","329.0","0.0"
"1/3/2019 2:00","-7.2","937.9","4.2","330.1","0.0"
"1/3/2019 3:00","-7.3","937.9","4.3","331.3","0.0"
"1/3/2019 4:00","-7.6","938.0","4.6","330.4","0.0"
"1/3/2019 5:00","-7.7","938.2","4.2","329.0","0.0"
"1/3/2019 6:00","-7.8","938.5","4.7","331.3","0.1"
"1/3/2019 7:00","-7.9","938.9","4.2","331.2","0.0"
"1/3/2019 8:00","-7.8","939.2","4.2","330.0","0.1"
"1/3/2019 9:00","-7.4","939.3","4.3","330.0","0.2"
"1/3/2019 10:00","-7.2","939.2","3.8","327.9","0.0"
"1/3/2019 11:00","-7.0","938.8","3.3","332.5","0.0"
"1/3/2019 12:00","-6.9","938.2","3.3","339.2","0.0"
"1/3/2019 13:00","-6.8","938.0","3.1","338.3","0.0"
"1/3/2019 14:00","-6.9","938.2","2.8","349.1","0.0"
"1/3/2019 15:00","-7.4","938.8","2.5","350.7","0.1"
"1/3/2019 16:00","-7.6","939.5","2.9","347.1","0.0"
"1/3/2019 17:00","-7.6","939.9","3.2","346.6","0.1"
"1/3/2019 18:00","-7.7","940.6","2.4","358.4","0.2"
"1/3/2019 19:00","-7.9","941.0","2.8","358.1","0.0"
"1/3/2019 20:00","-7.9","941.5","2.2","1.2","0.0"
"1/3/2019 21:00","-7.9","941.9","2.8","1.2","0.0"
"1/3/2019 22:00","-7.9","942.1","3.0","349.8","0.0"
"1/3/2019 23:00","-8.0","942.4","2.2","356.5","0.0"
"1/4/2019 0:00","-8.2","942.7","2.5","355.4","0.0"
"1/4/2019 1:00","-8.2","943.0","2.6","353.8","0.0"
"1/4/2019 2:00","-8.4","943.3","2.2","1.4","0.0"
"1/4/2019 3:00","-8.4","943.3","2.5","356.1","0.0"
"1/4/2019 4:00","-8.8","943.5","1.9","11.4","0.0"
"1/4/2019 5:00","-8.6","943.7","1.9","4.0","0.0"
"1/4/2019 6:00","-8.6","943.8","1.4","1.9","0.0"
"1/4/2019 7:00","-8.3","944.2","1.5","343.6","0.0"
"1/4/2019 8:00","-8.1","944.5","1.6","336.6","0.0"
"1/4/2019 9:00","-8.0","944.3","1.9","330.6","0.0"
"1/4/2019 10:00","-7.7","943.6","1.8","330.7","0.0"
"1/4/2019 11:00","-7.6","942.5","1.6","315.0","0.0"
"1/4/2019 12:00","-7.3","941.6","1.2","280.5","0.0"
"1/4/2019 13:00","-7.4","940.5","1.4","274.0","0.0"
"1/4/2019 14:00","-7.7","940.4","1.9","238.7","0.1"
"1/4/2019 15:00","-7.9","940.4","1.9","205.8","0.0"
"1/4/2019 16:00","-7.8","940.1","3.1","175.7","0.0"
"1/4/2019 17:00","-7.8","939.8","3.7","172.4","0.0"
"1/4/2019 18:00","-7.7","939.3","3.3","176.6","0.2"
"1/4/2019 19:00","-7.6","938.8","3.8","170.8","0.0"
"1/4/2019 20:00","-7.5","938.4","3.4","170.4","0.2"
"1/4/2019 21:00","-7.4","937.9","3.8","166.4","0.0"
"1/4/2019 22:00","-7.3","937.4","3.7","168.4","0.0"
"1/4/2019 23:00","-7.0","936.7","3.6","167.4","0.0"
"1/5/2019 0:00","-6.8","936.1","3.4","165.0","0.0"
"1/5/2019 1:00","-6.4","935.5","3.1","165.1","0.0"
"1/5/2019 2:00","-5.9","934.8","2.7","166.5","0.0"
"1/5/2019 3:00","-5.4","933.7","2.4","171.0","0.1"
"1/5/2019 4:00","-5.4","932.5","2.5","170.0","0.1"
"1/5/2019 5:00","-5.0","931.2","2.7","172.4","0.0"
"1/5/2019 6:00","-4.4","930.0","2.8","167.3","0.4"
"1/5/2019 7:00","-4.3","929.3","2.5","171.4","0.5"
"1/5/2019 8:00","-4.1","928.7","2.5","173.7","0.1"
"1/5/2019 9:00","-3.7","927.9","2.4","168.2","0.9"
"1/5/2019 10:00","-3.3","927.3","2.0","164.6","1.6"
"1/5/2019 11:00","-2.3","926.5","1.5","278.2","2.7"
"1/5/2019 12:00","-1.8","925.9","2.4","317.0","1.9"
"1/5/2019 13:00","-1.6","926.0","2.0","337.4","2.3"
"1/5/2019 14:00","-1.8","926.5","1.9","346.9","2.2"
"1/5/2019 15:00","-1.8","927.3","3.4","340.1","0.8"
"1/5/2019 16:00","-2.1","928.0","3.3","355.2","0.4"
"1/5/2019 17:00","-2.9","929.3","2.2","358.7","0.4"
"1/5/2019 18:00","-2.9","929.9","2.5","344.3","0.2"
"1/5/2019 19:00","-2.9","930.2","2.4","344.5","0.1"
"1/5/2019 20:00","-2.7","930.2","3.9","336.7","0.0"
"1/5/2019 21:00","-2.7","930.4","3.1","345.1","0.8"
"1/5/2019 22:00","-3.0","930.5","1.8","357.0","0.4"
"1/5/2019 23:00","-3.5","930.7","2.7","347.8","0.0"
"1/6/2019 0:00","-4.1","931.3","2.7","343.1","0.0"
"1/6/2019 1:00","-4.0","931.6","2.6","343.2","0.0"
"1/6/2019 2:00","-4.2","931.9","4.0","335.2","0.0"
"1/6/2019 3:00","-4.5","932.1","3.5","333.6","0.0"
"1/6/2019 4:00","-4.8","932.2","3.4","332.4","0.0"
"1/6/2019 5:00","-4.7","932.4","3.7","332.5","0.0"
"1/6/2019 6:00","-4.7","932.6","3.5","335.5","0.5"
"1/6/2019 7:00","-5.0","933.3","2.0","355.1","0.0"
"1/6/2019 8:00","-5.2","934.0","2.6","345.5","0.1"
"1/6/2019 9:00","-5.6","934.8","3.3","339.2","0.2"
"1/6/2019 10:00","-5.9","935.4","2.6","342.3","0.0"
"1/6/2019 11:00","-6.2","935.8","2.5","343.4","0.2"
"1/6/2019 12:00","-6.8","936.2","3.0","340.0","0.0"
"1/6/2019 13:00","-7.0","936.8","2.5","343.2","0.0"
"1/6/2019 14:00","-7.5","937.4","2.3","347.0","0.0"
"1/6/2019 15:00","-8.2","938.5","2.2","347.5","0.0"
"1/6/2019 16:00","-8.5","939.4","1.7","2.0","0.0"
"1/6/2019 17:00","-8.8","940.1","1.2","24.1","0.0"
"1/6/2019 18:00","-8.8","940.6","1.1","18.0","0.0"
"1/6/2019 19:00","-8.9","941.0","1.4","9.7","0.0"
"1/6/2019 20:00","-9.1","941.5","1.4","17.8","0.0"
"1/6/2019 21:00","-9.7","941.9","1.3","12.6","0.0"
"1/6/2019 22:00","-10.2","942.5","0.9","14.1","0.0"
"1/6/2019 23:00","-10.4","943.0","0.8","7.7","0.0"
"1/7/2019 0:00","-10.5","943.4","0.8","10.3","0.0"
